accuracy_train,loss_train,accuracy_val,loss_val
0.7942272311427324,0.4587083964779484,0.819811981092162,0.4228653342398601
0.8984608275922217,0.2782434106235226,0.8994865981995969,0.27613726867605864
0.9106451801656953,0.2405669623779932,0.9098829025110231,0.24373704443924443
0.921779642765606,0.20748815660705544,0.91810376653462,0.21920634810211587
0.9257781537451113,0.19553397071897477,0.9194675217803836,0.2144796480926086
0.9245169619888176,0.1986849404445975,0.9195699755037129,0.21329302594083407
0.9333871834477996,0.17357508735697297,0.9287409178150979,0.18908350499415605
0.939039057456998,0.15822500588682414,0.9336483120451899,0.1770638300866005
0.9308302034584314,0.18168593005233083,0.924949343623424,0.20145528430100465
0.9351662025127202,0.1687376444170281,0.9284530849881796,0.18994836954310915
0.9416662501245918,0.1503821270723679,0.934856092307332,0.1736269170764677
0.9463256428047634,0.1375351145084979,0.9392056050684242,0.16345853883811742
0.9504289481069164,0.12649653688308535,0.941922048460689,0.16004285605399052
0.9525765735352749,0.120878962777727,0.943772582177261,0.15738175909881955
0.9551385854023485,0.11444135347374444,0.9458230036946255,0.15259498346113473
0.9570387255088092,0.10960796722193969,0.9463715648180694,0.1525392592559057
0.9585184424065443,0.10574000372414456,0.9467844112245054,0.15287581811319872
0.9512609618547331,0.12657983428362943,0.9286407714677639,0.19513393160659737
0.9256047189742652,0.19617219683900927,0.920908684429617,0.21626768812352165
0.9383552857186931,0.15917001937313474,0.9319376847354262,0.18186636793003091
0.9491731034159515,0.13001400367928304,0.9408234753440808,0.16067137261990444
0.956326097416559,0.11123887463806612,0.9459129420444458,0.15282678725535334
0.9597332607932109,0.10265418195492731,0.9486614343442363,0.1499948233016232
0.9624849748205878,0.09578909856218613,0.9502029873153186,0.14878658291828797
0.9645619425999582,0.09069234722838222,0.95153092762142,0.1476312209580358
